ID,mobID,actualHealth,coordinatesX,coordinatesY,holdingItem
220,11,5,-145,-434,
221,11,7,-235,-491,
222,11,8,-67,343,
223,13,14,259,399,
224,13,16,137,-286,
225,13,18,256,489,
226,13,18,421,-490,
227,13,17,-108,-131,
228,13,16,133,259,
229,13,20,289,-287,
230,13,12,202,56,
231,13,10,-194,434,
232,13,17,302,131,
233,13,15,-453,-257,
234,13,16,430,-358,
235,13,6,-457,-389,
236,13,11,419,384,
237,13,14,33,-102,
238,13,12,-290,16,
239,13,8,-386,241,
240,13,5,-27,159,
241,13,16,422,-393,
242,13,14,-189,-323,
243,13,17,227,275,
244,13,5,258,-335,
245,13,12,77,-413,
246,13,16,-32,410,
247,13,17,428,408,
248,13,6,-485,-456,
249,13,17,-206,-190,
250,14,18,166,39,125
251,14,21,-489,-408,
252,14,18,236,-402,
253,14,7,-125,53,
254,14,17,276,-423,120
255,14,20,-384,329,105
256,14,18,435,-398,123
257,14,19,-384,114,
258,14,20,-309,178,
259,14,22,-414,35,105
260,14,17,-324,397,57
261,14,6,-18,-250,
262,14,16,-36,100,
263,14,21,-338,-132,57
264,14,25,347,260,125
265,14,20,356,189,125
266,14,17,375,416,52
267,14,15,120,9,57
268,14,14,-363,-304,
269,14,8,250,320,
270,14,16,205,20,125
271,14,16,108,200,123
272,14,13,127,-479,105
273,14,17,457,-183,120
274,14,13,36,351,
275,14,14,-323,260,
276,15,18,128,-281,
277,15,12,-233,-332,
278,15,20,-330,410,
279,15,5,53,185,
280,15,10,68,-235,
281,15,7,300,20,
282,15,15,-167,-42,
283,15,14,-209,-403,
284,15,17,344,313,
285,15,13,362,326,
286,15,7,-93,480,
287,15,17,-297,181,
288,15,20,-153,-319,
289,15,9,488,-470,
290,15,20,408,418,
291,15,9,375,343,
292,15,6,-185,-125,
293,15,9,434,396,
294,15,10,202,48,
295,15,16,476,391,
296,15,7,449,-369,
297,15,7,28,137,
298,15,11,500,-11,
299,15,7,-121,401,
300,15,5,376,-434,
301,15,12,-269,-58,
302,15,5,-288,-289,
303,15,9,-64,-16,
304,15,15,-300,-358,
305,15,13,-169,437,
306,15,17,-411,-202,
307,15,15,-52,181,
308,15,8,-397,-464,
309,15,14,-351,-369,
310,15,17,8,46,
311,15,19,-465,-458,
312,16,7,125,-285,
313,16,4,268,-149,
314,16,10,195,-105,
315,16,7,205,158,
316,16,5,407,-171,
317,16,4,-123,236,
318,16,3,-10,-495,
319,16,9,-392,-169,
320,16,8,332,-77,
321,16,7,-65,378,
322,16,8,-24,0,
323,16,14,-441,370,
324,16,4,-242,412,
325,16,11,367,-173,
326,16,6,282,76,
327,16,9,-386,-126,
328,16,12,-406,22,
329,16,5,405,231,
330,16,10,-337,460,
331,16,13,-304,321,
332,16,13,87,-321,
333,16,9,104,429,
334,16,5,406,-18,
335,16,5,-454,-135,
336,16,13,43,75,
337,16,12,-11,-389,
338,16,8,-478,368,
339,16,14,266,250,
340,16,8,-236,211,
341,16,13,-425,29,
342,16,12,-85,120,
343,16,10,-335,23,
344,16,14,-33,-22,
345,16,4,174,-361,
346,16,8,-449,200,
347,16,12,-499,-7,
348,16,9,331,-493,
349,17,9,424,-462,
350,17,27,-183,-3,
351,17,8,176,-483,
352,17,13,441,-372,
353,17,23,-326,82,
354,17,17,-499,-241,
355,17,23,303,-346,
356,17,12,394,81,
357,17,9,-65,9,
358,17,11,51,498,
359,17,11,360,-107,
360,17,29,126,-453,
361,17,27,94,-338,
362,17,9,-389,-392,
363,17,15,-322,-90,
364,17,18,404,-453,
365,17,11,-161,31,
366,17,25,-374,-258,
367,17,9,-483,333,
368,17,18,-402,57,
369,17,8,142,313,
370,17,14,30,-263,
371,17,16,362,288,
372,17,19,196,48,
373,17,22,332,-228,
374,17,22,448,69,
375,17,12,-177,-25,
376,17,25,144,165,
377,17,30,29,290,
378,17,8,147,238,
379,17,11,-369,112,
380,17,18,445,359,
381,17,21,-294,-274,
382,17,27,0,162,
383,17,7,-212,-114,
384,17,10,76,492,
385,18,6,286,-468,
386,18,7,-360,3,
387,18,8,493,-413,
388,18,8,385,250,
389,18,5,-130,-305,
390,18,5,161,-145,
391,18,2,-225,-151,
392,18,7,271,-114,
393,18,5,-15,-98,
394,18,2,368,348,
395,18,2,-64,-257,
396,18,2,313,-88,
397,18,4,-354,-293,
398,18,4,99,413,
399,18,2,218,35,
400,18,10,116,-304,
401,18,6,-22,-311,
402,18,4,-9,461,
403,18,5,-43,497,
404,18,6,-257,147,
405,18,8,-474,460,
406,18,4,87,-216,
407,18,3,77,-31,
408,18,7,-163,355,
409,18,8,-86,-373,
410,18,3,346,-390,
411,18,8,-333,345,
412,18,8,-314,466,
413,18,7,363,-292,
414,18,8,130,-112,
415,18,7,-78,342,
416,18,5,-213,-153,
417,18,7,46,89,
418,19,16,203,417,
419,19,21,-170,-132,
420,19,27,331,321,
421,19,30,389,-36,
422,19,10,77,-249,
423,19,16,-133,-305,
424,19,18,349,-95,
425,19,22,-151,92,
426,19,8,403,135,
427,19,29,-83,-177,
428,19,26,417,41,
429,19,25,-409,-46,
430,19,26,-61,-167,
431,19,15,-197,481,
432,19,19,33,134,
433,19,28,304,109,
434,19,20,30,-125,
435,19,19,331,170,
436,19,25,127,-493,
437,19,9,-330,96,
438,19,27,-16,350,
439,19,24,302,-135,
440,19,28,38,-281,
441,19,21,359,-121,
442,19,28,85,-312,
443,19,27,55,170,
444,19,8,-401,-118,
445,19,13,-476,-211,
446,19,12,-89,-109,
447,19,28,-49,142,
448,19,20,-218,323,
449,19,25,349,59,
450,19,8,259,-263,
451,19,13,4,229,
452,19,22,367,85,
453,19,15,250,-491,
454,19,20,-420,73,
455,20,3,77,399,124
456,20,7,451,49,124
457,20,4,461,-275,124
458,20,8,-76,-477,124
459,20,6,270,-251,124
460,20,3,-288,-302,124
461,20,5,-481,-194,
462,20,6,195,-254,
463,20,9,412,-494,124
464,20,8,236,329,
465,20,5,-63,-275,124
466,20,10,-96,-212,
467,20,4,-476,46,
468,20,9,349,461,124
469,20,4,359,-463,
470,20,10,123,-55,124
471,20,2,-13,-9,124
472,20,6,-97,-236,124
473,20,10,19,94,
474,20,5,87,42,
475,20,7,-325,-411,124
476,20,4,-407,-426,124
477,20,9,219,378,124
478,20,6,254,-466,124
479,20,2,-239,149,
480,20,9,-208,-428,124
481,20,9,271,257,
482,20,6,-381,-77,124
483,20,3,360,184,124
484,20,7,-391,466,
485,20,8,-48,151,124
486,20,8,-135,72,
487,20,9,114,308,124
488,20,8,409,469,124
489,20,10,239,-236,124
490,21,7,338,-330,68
491,21,10,57,166,68
492,21,3,-247,40,68
493,21,2,-137,212,68
494,21,8,-1,-311,
495,21,3,481,-308,68
496,21,4,225,308,
497,21,3,296,-419,
498,21,10,434,293,
499,21,7,-350,359,
500,21,4,-495,128,68
501,21,7,-28,401,
502,21,8,-173,-223,
503,21,8,-472,-233,68
504,21,10,-463,-459,
505,21,2,-62,282,68
506,21,2,498,309,
507,21,6,167,260,
508,21,3,-29,-203,
509,21,3,-85,-262,68
510,21,4,-428,15,68
511,21,4,422,106,68
512,21,4,-219,354,
513,21,5,-4,-214,68
514,21,4,-382,-83,68
515,21,9,-234,-420,
516,21,8,-407,124,68
517,21,5,-157,394,68
518,21,5,373,207,68
519,21,10,-371,139,68
520,21,10,378,421,
521,21,10,92,445,68
522,21,5,184,-4,68
523,21,8,-162,24,68
524,22,3,256,-394,
525,22,6,-5,366,
526,22,10,111,125,
527,22,5,129,-136,
528,22,10,414,-310,
529,22,9,-88,307,68
530,22,7,-356,177,
531,22,2,-159,-36,68
532,22,9,258,482,
533,22,5,479,57,
534,22,8,-412,278,
535,22,6,-470,-428,
536,22,10,437,-310,68
537,22,4,-197,0,
538,22,9,-367,456,
539,22,8,-40,333,
540,22,5,119,-229,68
541,22,3,-269,267,
542,22,3,-203,371,
543,22,6,80,234,68
544,22,5,345,140,68
545,22,8,-353,-202,
546,22,9,-329,-140,
547,22,9,-121,-50,
548,22,7,252,204,68
549,22,7,425,-248,
550,22,8,326,-64,
551,22,4,-193,397,
552,22,8,-30,231,68
553,22,10,-186,149,
554,23,15,-373,284,
555,23,12,-158,349,
556,23,15,446,6,
557,23,13,-56,-386,57
558,23,19,43,443,57
559,23,16,400,111,
560,23,15,-244,-171,57
561,23,5,-84,-461,57
562,23,15,-223,-446,
563,23,13,192,-238,
564,23,15,121,-364,
565,23,10,198,118,57
566,23,16,118,-349,
567,23,11,-188,76,
568,23,14,-104,-300,
569,23,16,471,108,
570,23,10,-205,-39,
571,23,10,-135,-246,
572,23,12,-31,105,
573,23,6,89,-314,
574,23,14,-120,-138,
575,23,15,322,-298,57
576,23,11,-206,-161,
577,23,17,242,-380,
578,23,18,-256,136,57
579,23,18,337,482,57
580,23,19,28,-75,57
581,23,14,369,33,
582,23,20,-53,166,
583,23,9,-373,-91,57
584,23,8,-192,7,
585,23,6,-160,150,
586,23,20,-491,-372,
587,23,16,59,-181,57
588,23,17,429,413,
589,23,9,246,361,
590,23,12,224,193,
591,23,11,382,377,
592,25,33,-479,-109,
593,25,14,-297,-78,36
594,25,29,-469,-366,
595,25,21,242,322,36
596,25,12,271,253,36
597,25,15,-171,75,36
598,25,29,-470,-191,36
599,25,40,52,317,36
600,25,21,296,75,36
601,25,16,23,456,
602,25,32,-142,-292,36
603,25,12,-307,-96,36
604,25,30,320,319,36
605,25,34,-280,435,
606,25,15,-278,445,36
607,25,37,447,304,
608,25,40,271,296,
609,25,10,-255,138,
610,25,14,-175,-253,
611,25,14,466,-270,
612,25,20,-462,-330,
613,25,12,112,364,36
614,25,20,-315,38,
615,25,18,-352,220,36
616,25,21,-496,420,
617,25,35,-72,323,36
618,25,29,-171,-472,
619,25,40,-308,410,
620,25,20,298,422,
621,25,19,-320,340,36
622,25,15,-37,379,36
623,25,25,500,170,36
624,25,28,-430,105,36
625,25,33,332,19,36
626,25,12,301,313,
627,25,24,113,-118,36
628,25,31,-180,-10,
629,25,23,-73,106,36
630,25,16,478,67,36
631,26,0,43,-372,
632,26,1,-337,43,11
633,26,3,91,-464,
634,26,3,304,422,
635,26,3,-72,320,
636,26,3,-360,-59,
637,26,2,-413,-1,10
638,26,1,-253,-144,10
639,26,3,-283,175,10
640,26,1,-490,-465,
641,26,2,-204,-493,10
642,26,2,437,-8,11
643,26,2,-240,-45,
644,26,3,16,454,
645,26,2,-443,-252,11
646,26,3,-62,-300,
647,26,1,406,302,
648,26,2,-88,-162,10
649,26,0,14,-132,
650,26,1,-226,-242,11
651,26,2,-178,214,
652,26,1,-340,18,
653,26,0,100,399,11
654,26,0,146,-291,
655,26,3,-38,448,10
656,26,2,188,-307,
657,26,1,-264,198,11
658,26,0,-9,218,10
659,26,0,2,41,
660,26,1,-425,390,
661,26,0,-201,430,
662,26,0,444,207,
663,26,0,124,414,10
664,26,0,471,398,10
665,26,3,-242,-247,11
666,26,3,226,-322,
667,26,2,46,-298,
668,26,3,364,396,
669,27,0,449,-370,
670,27,2,95,-241,
671,27,1,-170,-224,
672,27,0,385,442,
673,27,1,369,-175,10
674,27,3,-64,228,
675,27,0,-170,-170,
676,27,1,-493,447,
677,27,1,467,449,11
678,27,1,498,-325,11
679,27,3,351,-201,11
680,27,3,-312,200,10
681,27,0,198,283,95
682,27,1,377,-372,
683,27,3,-172,136,10
684,27,2,-201,-139,
685,27,3,-214,233,
686,27,0,-257,-155,10
687,27,0,-132,137,
688,27,3,483,-227,11
689,27,0,-101,-183,10
690,27,3,-460,324,
691,27,2,130,-51,
692,27,1,-440,282,11
693,27,3,493,-288,
694,27,3,-380,250,
695,27,3,-500,-136,95
696,27,1,-182,-52,
697,28,0,-304,-65,
698,28,2,166,-469,
699,28,1,255,324,11
700,28,3,-162,-36,
701,28,0,-306,-426,
702,28,1,313,64,11
703,28,0,291,314,11
704,28,2,486,459,11
705,28,3,-11,458,11
706,28,2,-260,-134,
707,28,3,58,-272,
708,28,0,-309,-399,
709,28,2,-427,-414,11
710,28,2,-403,63,11
711,28,0,226,-321,
712,28,2,-5,421,
713,28,0,184,339,
714,28,3,457,-349,
715,28,1,-484,212,11
716,28,1,27,-316,11
717,28,3,-223,-295,
718,28,0,404,-430,
719,28,1,413,-340,
720,28,2,-157,-274,11
721,28,3,101,-306,
722,28,2,16,-309,11
723,28,3,-142,64,11
724,28,0,-191,-75,11
725,28,3,-47,290,11
726,28,2,-483,209,
727,29,0,141,313,11
728,29,2,-158,92,11
729,29,1,192,-498,
730,29,2,-106,-271,10
731,29,2,138,445,10
732,29,2,66,-140,11
733,29,0,-178,-337,11
734,29,1,-22,304,10
735,29,0,-66,-26,10
736,29,2,350,-18,11
737,29,2,363,-151,
738,29,1,283,362,11
739,29,0,183,-17,10
740,29,3,-388,438,11
741,29,2,-169,-195,
742,29,1,-442,300,
743,29,3,120,251,
744,29,2,203,312,10
745,29,3,234,330,
746,29,2,460,416,
747,29,3,453,-174,
748,29,2,306,-471,10
749,29,2,220,306,10
750,29,3,-232,268,11
751,29,1,413,-143,10
752,29,0,122,144,11
753,29,3,266,448,11
754,29,2,476,140,
755,29,0,-109,-490,10
756,30,9,-114,-245,
757,30,9,161,-229,
758,30,9,499,83,
759,30,2,346,-317,
760,30,8,-73,395,
761,30,8,326,494,
762,30,10,-373,-116,
763,30,9,81,293,
764,30,4,-430,17,
765,30,8,62,71,
766,30,5,-415,125,
767,30,5,-255,366,
768,30,7,-413,52,
769,30,3,-258,392,
770,30,7,-28,147,
771,30,2,368,-227,
772,30,3,-347,-451,
773,30,8,-220,-29,
774,30,7,180,-302,
775,30,4,82,90,
776,30,3,130,194,
777,30,5,124,281,
778,30,8,426,-377,
779,30,7,385,-345,
780,30,8,80,-111,
781,30,2,118,-182,
782,30,10,-119,179,
783,30,3,262,374,
784,30,9,-140,305,
785,30,2,-375,349,
786,30,4,-111,9,
787,30,9,70,-149,
788,30,7,-375,225,
789,30,2,128,-101,
790,30,3,-230,62,
791,31,10,-408,243,
792,31,5,291,-35,
793,31,6,278,281,
794,31,7,459,-475,
795,31,8,84,45,
796,31,8,433,36,
797,31,4,-12,-341,
798,31,4,491,-376,
799,31,6,381,444,
800,31,4,-409,-362,
801,31,6,248,-250,
802,31,2,-254,436,
803,31,8,129,-312,
804,31,3,-209,-192,
805,31,5,-52,-470,
806,31,10,-307,-485,
807,31,10,-46,-131,
808,31,10,-460,-243,
809,31,5,-47,-373,
810,31,4,-234,-234,
811,31,9,-382,-364,
812,31,6,249,35,
813,31,10,229,202,
814,31,2,486,266,
815,31,9,133,-471,
816,31,2,-90,403,
817,31,10,102,217,
818,31,7,412,-349,
819,31,4,498,280,
820,31,5,12,-421,
821,31,8,-146,321,
822,31,3,-155,456,
823,31,8,34,28,
824,32,2,-17,-151,47
825,32,5,-129,70,47
826,32,4,296,266,
827,32,5,349,-378,47
828,32,6,-217,-29,
829,32,10,-171,228,57
830,32,5,-96,-216,57
831,32,8,-267,-349,47
832,32,8,-225,66,47
833,32,5,236,77,57
834,32,8,363,307,57
835,32,10,-260,-317,
836,32,5,-293,-80,
837,32,7,285,127,
838,32,7,-475,-291,
839,32,10,336,-499,47
840,32,3,114,17,
841,32,10,156,-27,
842,32,3,-236,-124,
843,32,4,17,109,
844,32,2,94,-466,47
845,32,10,-181,-14,57
846,32,7,2,-182,57
847,32,9,-442,349,
848,32,5,261,-440,
849,32,3,-215,-419,
850,32,3,-60,217,57
851,32,10,-188,20,47
852,32,10,104,-160,
853,32,6,343,-67,
854,32,9,380,-250,47
855,33,10,252,-398,
856,33,4,425,488,
857,33,8,155,-122,
858,33,4,355,-423,
859,33,8,76,-413,
860,33,4,397,-295,
861,33,6,-374,-336,
862,33,7,-68,-286,
863,33,7,230,-232,
864,33,2,-337,25,
865,33,7,491,103,
866,33,4,283,425,
867,33,6,418,-94,
868,33,3,-441,-407,
869,33,7,247,103,
870,33,3,-195,-58,
871,33,8,370,-100,
872,33,9,111,142,
873,33,10,110,176,
874,33,2,-103,144,
875,33,10,-461,-432,
876,33,6,348,-497,
877,33,9,-425,-93,
878,33,4,-319,308,
879,33,5,-100,-54,
880,33,3,272,-94,
881,33,8,417,177,
882,33,4,-480,69,
883,34,36,-457,72,68
884,34,30,226,215,
885,34,10,138,-233,
886,34,33,382,207,68
887,34,27,-381,280,68
888,34,11,257,347,
889,34,20,-122,-345,
890,34,27,424,415,68
891,34,26,-399,365,68
892,34,39,-80,396,68
893,34,38,7,-305,
894,34,21,63,-324,
895,34,24,-157,-481,
896,34,39,-172,439,
897,34,38,472,-64,
898,34,12,-34,-101,68
899,34,23,138,-29,68
900,34,16,431,-406,68
901,34,21,-194,-263,
902,34,29,441,-199,68
903,34,39,-241,-2,
904,34,17,-311,-494,68
905,34,20,-84,386,68
906,34,10,-250,-353,68
907,34,13,209,321,
908,35,18,322,-68,
909,35,36,74,131,
910,35,32,-388,313,
911,35,31,-390,-224,
912,35,21,444,496,
913,35,26,-35,355,
914,35,16,-160,-348,
915,35,11,-68,-493,
916,35,30,-189,248,
917,35,10,-374,-378,
918,35,32,-381,-444,
919,35,20,438,-286,
920,35,17,444,-352,
921,35,11,-50,-175,
922,35,36,201,451,
923,35,31,-441,255,
924,35,17,43,202,
925,35,30,480,312,
926,35,13,-118,-181,
927,35,26,-415,438,
928,35,20,-313,147,
929,35,10,-469,-65,
930,35,23,-450,-23,
931,35,14,96,-269,
932,35,24,-287,135,
933,35,24,-311,-100,
934,35,33,-323,284,
935,35,33,310,379,
936,35,39,-132,-335,
937,35,25,363,306,
938,35,18,-131,-446,
939,35,13,-297,-204,
940,35,11,110,104,
941,35,32,146,332,
942,35,28,-24,-455,
943,36,15,-371,353,68
944,36,14,359,78,68
945,36,10,259,-174,68
946,36,10,329,-91,68
947,36,10,171,400,
948,36,5,-253,-15,
949,36,9,-350,-469,
950,36,6,-190,-451,68
951,36,12,-295,344,68
952,36,11,354,-484,
953,36,5,-266,10,68
954,36,7,306,-406,
955,36,5,87,-91,
956,36,3,332,-128,68
957,36,5,416,-301,
958,36,11,375,103,
959,36,8,-361,460,68
960,36,3,-195,189,
961,36,12,-464,188,68
962,36,3,-141,-347,
963,36,3,-296,-2,
964,36,5,-474,-10,68
965,36,9,-293,79,
966,36,13,276,170,
967,36,7,-412,-65,68
968,36,11,165,-393,68
969,36,5,32,-60,68
970,36,6,-111,-368,68
971,36,12,54,391,68
972,36,9,323,163,
973,36,5,367,213,68
974,36,6,-52,115,68
975,36,7,220,446,
976,36,3,-481,-138,
977,37,10,120,-492,68
978,37,8,337,-232,68
979,37,6,-58,258,68
980,37,10,-280,-18,
981,37,6,-75,283,
982,37,9,270,-37,
983,37,9,-254,231,68
984,37,8,-39,-225,68
985,37,4,-294,77,
986,37,7,402,-248,
987,37,3,-347,270,
988,37,5,-385,-387,
989,37,9,18,-115,
990,37,5,-379,6,68
991,37,14,-205,164,68
992,37,5,61,467,
993,37,8,240,279,
994,37,11,-436,-287,68
995,37,7,-131,-98,
996,37,15,91,-411,
997,37,11,98,463,
998,37,5,446,36,
999,37,10,38,-48,68
1000,37,7,224,-55,
1001,37,7,-90,-205,
1002,37,12,279,362,68
1003,37,4,223,111,
1004,37,12,479,196,
1005,37,13,-339,232,
1006,37,14,46,-397,
1007,37,7,-421,200,
1008,38,14,236,358,
1009,38,8,-311,-403,68
1010,38,5,258,200,
1011,38,7,-149,482,68
1012,38,13,332,21,68
1013,38,15,434,33,68
1014,38,4,331,-484,68
1015,38,13,320,128,68
1016,38,7,-269,-91,68
1017,38,14,-85,-14,68
1018,38,13,-357,399,
1019,38,8,-391,-346,
1020,38,12,98,464,
1021,38,7,422,-372,68
1022,38,14,-315,-69,
1023,38,3,-267,344,68
1024,38,3,165,379,68
1025,38,13,-102,-499,68
1026,38,11,193,-223,
1027,38,13,-291,339,
1028,38,12,463,65,
1029,38,6,433,-472,
1030,38,8,-207,-467,
1031,38,5,-294,58,
1032,38,11,183,-372,
1033,38,3,-416,-91,
1034,39,16,453,-213,33
1035,39,11,430,-390,33
1036,39,9,8,-460,33
1037,39,9,-497,409,33
1038,39,8,-454,390,
1039,39,17,447,492,
1040,39,18,367,312,
1041,39,13,372,-302,33
1042,39,23,-395,-95,33
1043,39,20,-25,133,
1044,39,16,-333,462,33
1045,39,19,500,-116,
1046,39,14,-254,110,33
1047,39,14,169,-228,33
1048,39,15,395,-417,
1049,39,19,126,-451,33
1050,39,11,-125,-410,
1051,39,12,-443,266,33
1052,39,11,-40,443,33
1053,39,13,430,400,
1054,40,28,130,-68,
1055,40,13,-386,37,
1056,40,9,140,118,
1057,40,9,-488,446,
1058,40,24,481,36,
1059,40,27,179,-137,
1060,40,10,-393,-78,
1061,40,18,-293,65,
1062,40,12,245,-169,
1063,40,11,322,-139,
1064,40,28,-300,-464,
1065,40,24,-495,305,
1066,40,26,-318,377,
1067,40,18,274,-476,
1068,40,10,320,-333,
1069,40,13,-378,-12,
1070,40,25,183,-155,
1071,40,21,-312,326,
1072,40,20,202,231,
1073,40,19,125,-164,
1074,40,22,-173,123,
1075,40,29,214,-399,
1076,40,13,-319,177,
1077,40,16,407,3,
1078,40,26,-365,-235,
1079,40,28,-79,-75,
1080,40,12,389,208,
1081,40,8,-479,98,
1082,40,30,232,-406,
1083,40,15,100,-362,
1084,40,23,-115,-324,
1085,40,31,-279,0,
1086,40,17,476,-76,
1087,40,12,-234,319,
1088,41,10,-440,-459,
1089,41,7,317,456,
1090,41,20,453,28,
1091,41,6,-495,355,
1092,41,6,14,146,
1093,41,15,-258,-414,
1094,41,20,38,232,
1095,41,8,338,222,
1096,41,24,446,156,
1097,41,20,121,-305,
1098,41,16,-370,38,
1099,41,20,82,100,
1100,41,6,393,-54,
1101,41,18,96,-51,
1102,41,22,199,-347,
1103,41,18,28,-449,
1104,41,6,-409,-495,
1105,41,19,480,-448,
1106,41,12,347,211,
1107,41,16,-366,-411,
1108,41,10,-479,7,
1109,41,18,488,-380,
1110,41,19,-320,69,
1111,41,23,-99,295,
1112,41,12,54,388,
1113,41,13,-237,371,
1114,41,24,325,-366,
1115,41,20,279,-287,
1116,41,16,-165,190,
1117,41,20,188,-149,
1118,42,33,-361,-426,
1119,42,67,46,-444,
1120,42,67,159,338,
1121,42,47,-332,398,
1122,42,33,63,-205,
1123,42,69,366,-293,
1124,42,63,-403,166,
1125,42,52,202,453,
1126,42,30,83,254,
1127,42,55,289,495,
